% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1703753899.4756 0 0 0 0
1703753899.4819 0 0 0 0
1703753899.4889 0 4294967295 0 -1
1703753899.4959 0 4294967295 0 0
1703753899.5032 0 4294967295 0 0
1703753899.5101 1 1 1 2
1703753899.5175 4 3 3 2
1703753899.5244 8 6 4 3
1703753899.5312 8 7 0 1
1703753899.5378 8 8 0 1
1703753899.5447 10 9 2 1
1703753899.5518 12 12 2 3
1703753899.5587 14 14 2 2
1703753899.5661 16 16 2 2
1703753899.5732 18 20 2 4
1703753899.5806 21 23 3 3
1703753899.5867 25 26 4 3
1703753899.5944 28 30 3 4
1703753899.6013 32 34 4 4
1703753899.6081 36 38 4 4
1703753899.6152 40 42 4 4
1703753899.6223 45 46 5 4
1703753899.6289 49 51 4 5
1703753899.6360 54 56 5 5
1703753899.6437 59 60 5 4
1703753899.6506 64 66 5 6
1703753899.6575 69 71 5 5
1703753899.6645 74 75 5 4
1703753899.6714 79 80 5 5
1703753899.6791 83 85 4 5
1703753899.6863 89 90 6 5
1703753899.6930 95 95 6 5
1703753899.7000 99 100 4 5
1703753899.7070 104 105 5 5
1703753899.7140 109 109 5 4
1703753899.7209 114 114 5 5
1703753899.7274 120 120 6 6
1703753899.7345 125 125 5 5
1703753899.7413 129 129 4 4
1703753899.7491 134 133 5 4
1703753899.7562 139 139 5 6
1703753899.7628 144 144 5 5
1703753899.7697 150 149 6 5
1703753899.7774 154 153 4 4
1703753899.7833 158 157 4 4
1703753899.7903 162 162 4 5
1703753899.7980 168 167 6 5
1703753899.8051 173 172 5 5
1703753899.8117 178 177 5 5
1703753899.8186 182 181 4 4
1703753899.8254 187 185 5 4
1703753899.8334 192 190 5 5
1703753899.8402 197 196 5 6
1703753899.8471 202 200 5 4
1703753899.8540 207 204 5 4
1703753899.8606 211 208 4 4
1703753899.8675 215 213 4 5
1703753899.8745 220 218 5 5
1703753899.8822 225 222 5 4
1703753899.8894 230 227 5 5
1703753899.8959 234 231 4 4
1703753899.9029 238 235 4 4
1703753899.9097 243 240 5 5
1703753899.9165 248 245 5 5
1703753899.9234 252 250 4 5
1703753899.9311 256 254 4 4
1703753899.9373 261 259 5 5
1703753899.9450 266 264 5 5
1703753899.9518 270 268 4 4
1703753899.9589 275 273 5 5
1703753899.9655 279 278 4 5
1703753899.9724 283 283 4 5
1703753899.9793 288 287 5 4
1703753899.9864 293 292 5 5
1703753899.9942 297 297 4 5
1703753900.0010 301 302 4 5
1703753900.0078 306 307 5 5
1703753900.0144 312 311 6 4
1703753900.0214 316 316 4 5
1703753900.0293 319 320 3 4
1703753900.0353 323 325 4 5
1703753900.0433 329 330 6 5
1703753900.0499 334 334 5 4
1703753900.0569 339 339 5 5
1703753900.0634 343 345 4 6
1703753900.0705 347 350 4 5
1703753900.0773 351 353 4 3
1703753900.0853 357 357 6 4
1703753900.0922 362 363 5 6
1703753900.0989 367 368 5 5
1703753900.1058 371 373 4 5
1703753900.1135 376 377 5 4
1703753900.1194 380 381 4 4
1703753900.1263 385 385 5 4
1703753900.1342 390 390 5 5
1703753900.1411 394 395 4 5
1703753900.1478 399 400 5 5
1703753900.1547 404 405 5 5
1703753900.1617 409 409 5 4
1703753900.1685 413 413 4 4
1703753900.1763 417 418 4 5
1703753900.1831 422 423 5 5
1703753900.1900 427 428 5 5
1703753900.1967 432 432 5 4
1703753900.2038 436 436 4 4
1703753900.2107 440 441 4 5
1703753900.2174 446 446 6 5
1703753900.2253 450 451 4 5
1703753900.2318 454 455 4 4
1703753900.2389 459 459 5 4
1703753900.2457 464 464 5 5
1703753900.2527 469 469 5 5
1703753900.2596 474 474 5 5
1703753900.2673 478 478 4 4
1703753900.2742 483 481 5 3
1703753900.2809 489 484 6 3
1703753900.2879 494 488 5 4
1703753900.2950 499 492 5 4
1703753900.3016 506 494 7 2
1703753900.3085 512 497 6 3
1703753900.3162 518 500 6 3
1703753900.3232 525 502 7 2
1703753900.3299 533 504 8 2
1703753900.3369 540 506 7 2
1703753900.3443 547 509 7 3
1703753900.3510 554 513 7 4
1703753900.3579 564 513 10 0
1703753900.3645 574 512 10 -1
1703753900.3715 583 511 9 -1
1703753900.3784 592 511 9 0
1703753900.3854 601 512 9 1
1703753900.3934 612 512 11 0
1703753900.3998 623 511 11 -1
1703753900.4068 633 511 10 0
1703753900.4136 643 511 10 0
1703753900.4204 654 511 11 0
1703753900.4273 664 511 10 0
1703753900.4343 673 511 9 0
1703753900.4423 683 511 10 0
1703753900.4489 694 511 11 0
1703753900.4557 704 511 10 0
1703753900.4628 713 512 9 1
1703753900.4694 720 512 7 0
1703753900.4765 727 513 7 1
1703753900.4833 736 515 9 2
1703753900.4903 745 517 9 2
1703753900.4981 753 519 8 2
1703753900.5050 760 521 7 2
1703753900.5117 767 523 7 2
1703753900.5186 774 526 7 3
1703753900.5256 780 528 6 2
1703753900.5334 786 531 6 3
1703753900.5393 792 533 6 2
1703753900.5473 797 536 5 3
1703753900.5539 802 540 5 4
1703753900.5608 807 543 5 3
1703753900.5675 812 547 5 4
1703753900.5744 816 551 4 4
1703753900.5823 820 555 4 4
1703753900.5892 824 559 4 4
1703753900.5961 829 564 5 5
1703753900.6027 833 569 4 5
1703753900.6099 836 574 3 5
1703753900.6165 839 579 3 5
1703753900.6233 842 585 3 6
1703753900.6313 845 591 3 6
1703753900.6380 848 597 3 6
1703753900.6450 850 604 2 7
1703753900.6517 852 612 2 8
1703753900.6588 852 619 0 7
1703753900.6656 852 627 0 8
1703753900.6734 852 636 0 9
1703753900.6802 852 645 0 9
1703753900.6870 852 655 0 10
1703753900.6939 852 665 0 10
1703753900.7007 852 673 0 8
1703753900.7077 852 684 0 11
1703753900.7146 851 695 -1 11
1703753900.7223 850 706 -1 11
1703753900.7293 849 717 -1 11
1703753900.7359 849 729 0 12
1703753900.7428 849 741 0 12
1703753900.7498 849 752 0 11
1703753900.7566 849 763 0 11
1703753900.7635 848 774 -1 11
1703753900.7712 848 786 0 12
1703753900.7781 847 798 -1 12
1703753900.7849 846 810 -1 12
1703753900.7919 845 821 -1 11
1703753900.7988 844 833 -1 12
1703753900.8054 843 845 -1 12
1703753900.8124 841 857 -2 12
1703753900.8201 840 868 -1 11
1703753900.8270 838 880 -2 12
1703753900.8341 837 893 -1 13
1703753900.8409 835 905 -2 12
1703753900.8477 833 916 -2 11
1703753900.8544 831 927 -2 11
1703753900.8613 830 938 -1 11
1703753900.8690 828 950 -2 12
1703753900.8759 827 963 -1 13
1703753900.8832 825 975 -2 12
1703753900.8898 823 986 -2 11
1703753900.8968 820 998 -3 12
1703753900.9033 819 1009 -1 11
1703753900.9113 817 1020 -2 11
1703753900.9181 815 1032 -2 12
1703753900.9250 814 1045 -1 13
1703753900.9320 812 1057 -2 12
1703753900.9388 809 1067 -3 10
1703753900.9457 807 1078 -2 11
1703753900.9534 805 1090 -2 12
1703753900.9593 803 1103 -2 13
1703753900.9673 801 1114 -2 11
1703753900.9741 799 1125 -2 11
1703753900.9810 797 1136 -2 11
1703753900.9878 795 1147 -2 11
1703753900.9947 793 1159 -2 12
1703753901.0015 790 1172 -3 13
1703753901.0094 787 1182 -3 10
1703753901.0153 785 1192 -2 10
1703753901.0231 783 1203 -2 11
1703753901.0300 780 1214 -3 11
1703753901.0368 778 1226 -2 12
1703753901.0437 776 1238 -2 12
1703753901.0506 773 1249 -3 11
1703753901.0573 772 1260 -1 11
1703753901.0644 769 1271 -3 11
1703753901.0720 767 1282 -2 11
1703753901.0789 764 1293 -3 11
1703753901.0859 762 1305 -2 12
1703753901.0927 759 1316 -3 11
1703753901.0996 757 1327 -2 11
1703753901.1064 755 1338 -2 11
1703753901.1134 752 1350 -3 12
1703753901.1211 750 1362 -2 12
1703753901.1278 748 1373 -2 11
1703753901.1349 746 1384 -2 11
1703753901.1416 744 1395 -2 11
1703753901.1487 742 1405 -2 10
1703753901.1554 741 1415 -1 10
1703753901.1623 740 1425 -1 10
1703753901.1701 740 1435 0 10
1703753901.1769 740 1445 0 10
1703753901.1839 740 1454 0 9
1703753901.1905 740 1463 0 9
1703753901.1976 740 1471 0 8
1703753901.2053 740 1478 0 7
1703753901.2122 741 1486 1 8
1703753901.2191 742 1493 1 7
1703753901.2258 743 1499 1 6
1703753901.2329 745 1505 2 6
1703753901.2395 748 1510 3 5
1703753901.2465 750 1515 2 5
1703753901.2543 752 1520 2 5
1703753901.2611 757 1524 5 4
1703753901.2680 761 1527 4 3
1703753901.2747 765 1531 4 4
1703753901.2816 770 1533 5 2
1703753901.2886 776 1536 6 3
1703753901.2954 781 1538 5 2
1703753901.3023 787 1540 6 2
1703753901.3100 794 1543 7 3
1703753901.3170 801 1544 7 1
1703753901.3236 809 1544 8 0
1703753901.3307 816 1545 7 1
1703753901.3377 824 1545 8 0
1703753901.3444 833 1546 9 1
1703753901.3523 842 1546 9 0
1703753901.3589 851 1547 9 1
1703753901.3659 860 1547 9 0
1703753901.3725 869 1548 9 1
1703753901.3796 879 1548 10 0
1703753901.3867 888 1548 9 0
1703753901.3934 898 1548 10 0
1703753901.4014 907 1548 9 0
1703753901.4079 917 1548 10 0
1703753901.4148 927 1548 10 0
1703753901.4218 936 1548 9 0
1703753901.4286 944 1548 8 0
1703753901.4356 953 1548 9 0
1703753901.4423 963 1548 10 0
1703753901.4503 972 1548 9 0
1703753901.4569 980 1548 8 0
1703753901.4641 988 1549 8 1
1703753901.4710 996 1550 8 1
1703753901.4777 1005 1552 9 2
1703753901.4847 1013 1553 8 1
1703753901.4914 1020 1555 7 2
1703753901.4984 1027 1557 7 2
1703753901.5062 1034 1559 7 2
1703753901.5132 1043 1560 9 1
1703753901.5200 1051 1563 8 3
1703753901.5267 1058 1565 7 2
1703753901.5337 1064 1567 6 2
1703753901.5404 1071 1569 7 2
1703753901.5473 1078 1572 7 3
1703753901.5544 1085 1575 7 3
1703753901.5621 1090 1577 5 2
1703753901.5690 1096 1581 6 4
1703753901.5755 1102 1584 6 3
1703753901.5826 1107 1587 5 3
1703753901.5894 1112 1591 5 4
1703753901.5973 1118 1594 6 3
1703753901.6033 1123 1598 5 4
1703753901.6110 1128 1602 5 4
1703753901.6179 1132 1606 4 4
1703753901.6246 1137 1610 5 4
1703753901.6313 1142 1615 5 5
1703753901.6384 1146 1619 4 4
1703753901.6453 1150 1624 4 5
1703753901.6533 1154 1629 4 5
1703753901.6599 1159 1633 5 4
1703753901.6668 1164 1638 5 5
1703753901.6736 1168 1643 4 5
1703753901.6815 1171 1648 3 5
1703753901.6873 1175 1653 4 5
1703753901.6952 1180 1658 5 5
1703753901.7022 1184 1663 4 5
1703753901.7089 1188 1668 4 5
1703753901.7160 1192 1673 4 5
1703753901.7229 1197 1679 5 6
1703753901.7296 1201 1684 4 5
1703753901.7368 1205 1688 4 4
1703753901.7433 1209 1693 4 5
1703753901.7513 1213 1699 4 6
1703753901.7581 1218 1704 5 5
1703753901.7649 1223 1709 5 5
1703753901.7718 1227 1715 4 6
1703753901.7787 1230 1720 3 5
1703753901.7858 1234 1724 4 4
1703753901.7936 1239 1729 5 5
1703753901.7993 1245 1735 6 6
1703753901.8064 1250 1740 5 5
1703753901.8142 1253 1744 3 4
1703753901.8212 1256 1748 3 4
1703753901.8281 1262 1753 6 5
1703753901.8351 1268 1759 6 6
1703753901.8419 1272 1764 4 5
1703753901.8487 1276 1768 4 4
1703753901.8555 1281 1771 5 3
1703753901.8632 1286 1776 5 5
1703753901.8703 1290 1781 4 5
1703753901.8769 1295 1787 5 6
1703753901.8840 1300 1790 5 3
1703753901.8910 1305 1794 5 4
1703753901.8976 1310 1798 5 4
1703753901.9045 1314 1802 4 4
1703753901.9121 1320 1807 6 5
1703753901.9192 1325 1812 5 5
1703753901.9260 1329 1816 4 4
1703753901.9329 1334 1819 5 3
1703753901.9399 1340 1822 6 3
1703753901.9465 1345 1827 5 5
1703753901.9535 1349 1832 4 5
1703753901.9605 1354 1835 5 3
1703753901.9683 1360 1838 6 3
1703753901.9752 1366 1842 6 4
1703753901.9819 1371 1847 5 5
1703753901.9890 1376 1851 5 4
1703753901.9956 1382 1853 6 2
1703753902.0025 1388 1857 6 4
1703753902.0095 1394 1862 6 5
1703753902.0174 1399 1865 5 3
1703753902.0242 1405 1868 6 3
1703753902.0309 1412 1872 7 4
1703753902.0379 1417 1876 5 4
1703753902.0446 1422 1879 5 3
1703753902.0517 1428 1881 6 2
1703753902.0586 1435 1885 7 4
1703753902.0653 1441 1888 6 3
1703753902.0733 1445 1891 4 3
1703753902.0798 1451 1895 6 4
1703753902.0869 1458 1898 7 3
1703753902.0938 1464 1901 6 3
1703753902.1006 1469 1904 5 3
1703753902.1076 1474 1908 5 4
1703753902.1153 1481 1912 7 4
1703753902.1222 1487 1916 6 4
1703753902.1288 1493 1919 6 3
1703753902.1358 1498 1923 5 4
1703753902.1429 1503 1926 5 3
1703753902.1496 1509 1930 6 4
1703753902.1565 1515 1934 6 4
1703753902.1642 1521 1939 6 5
1703753902.1711 1526 1942 5 3
1703753902.1779 1531 1946 5 4
1703753902.1850 1536 1951 5 5
1703753902.1918 1541 1955 5 4
1703753902.1985 1547 1959 6 4
1703753902.2054 1552 1963 5 4
1703753902.2131 1556 1968 4 5
1703753902.2200 1561 1972 5 4
1703753902.2269 1566 1976 5 4
1703753902.2339 1571 1981 5 5
1703753902.2408 1575 1985 4 4
1703753902.2473 1580 1989 5 4
1703753902.2553 1584 1994 4 5
1703753902.2621 1589 1998 5 4
1703753902.2689 1594 2003 5 5
1703753902.2760 1599 2007 5 4
1703753902.2828 1603 2012 4 5
1703753902.2897 1607 2017 4 5
1703753902.2974 1611 2021 4 4
1703753902.3042 1616 2027 5 6
1703753902.3111 1621 2032 5 5
1703753902.3178 1625 2037 4 5
1703753902.3249 1629 2042 4 5
1703753902.3315 1633 2047 4 5
1703753902.3386 1637 2052 4 5
1703753902.3454 1641 2057 4 5
1703753902.3532 1645 2063 4 6
1703753902.3600 1649 2068 4 5
1703753902.3668 1653 2074 4 6
1703753902.3737 1657 2079 4 5
1703753902.3804 1661 2084 4 5
1703753902.3875 1664 2089 3 5
1703753902.3944 1668 2095 4 6
1703753902.4021 1672 2100 4 5
1703753902.4092 1677 2105 5 5
1703753902.4158 1681 2110 4 5
1703753902.4227 1684 2116 3 6
1703753902.4295 1688 2121 4 5
1703753902.4364 1692 2126 4 5
1703753902.4433 1697 2131 5 5
1703753902.4510 1701 2137 4 6
1703753902.4581 1704 2143 3 6
1703753902.4650 1708 2147 4 4
1703753902.4717 1713 2152 5 5
1703753902.4787 1718 2157 5 5
1703753902.4855 1722 2163 4 6
1703753902.4924 1726 2168 4 5
1703753902.5003 1730 2172 4 4
1703753902.5072 1735 2177 5 5
1703753902.5140 1740 2183 5 6
1703753902.5207 1744 2187 4 4
1703753902.5275 1748 2192 4 5
1703753902.5343 1752 2197 4 5
1703753902.5423 1757 2201 5 4
1703753902.5491 1762 2206 5 5
1703753902.5560 1767 2212 5 6
1703753902.5629 1772 2217 5 5
1703753902.5696 1776 2221 4 4
1703753902.5765 1779 2225 3 4
1703753902.5842 1784 2230 5 5
1703753902.5903 1789 2235 5 5
1703753902.5981 1794 2241 5 6
1703753902.6050 1798 2245 4 4
1703753902.6119 1802 2249 4 4
1703753902.6185 1807 2253 5 4
1703753902.6255 1811 2259 4 6
1703753902.6333 1815 2264 4 5
1703753902.6403 1820 2268 5 4
1703753902.6472 1825 2273 5 5
1703753902.6539 1829 2278 4 5
1703753902.6608 1833 2282 4 4
1703753902.6674 1839 2286 6 4
1703753902.6744 1844 2291 5 5
1703753902.6813 1847 2296 3 5
1703753902.6893 1851 2300 4 4
1703753902.6961 1857 2304 6 4
1703753902.7028 1862 2308 5 4
1703753902.7097 1866 2314 4 6
1703753902.7174 1870 2319 4 5
1703753902.7234 1876 2323 6 4
1703753902.7304 1881 2328 5 5
1703753902.7382 1885 2332 4 4
1703753902.7451 1889 2337 4 5
1703753902.7516 1895 2342 6 5
1703753902.7586 1900 2347 5 5
1703753902.7654 1903 2350 3 3
1703753902.7723 1907 2355 4 5
1703753902.7803 1912 2360 5 5
1703753902.7871 1918 2364 6 4
1703753902.7940 1923 2369 5 5
1703753902.8007 1926 2375 3 6
1703753902.8075 1930 2380 4 5
1703753902.8146 1935 2383 5 3
1703753902.8223 1940 2388 5 5
1703753902.8292 1945 2393 5 5
1703753902.8360 1949 2398 4 5
1703753902.8429 1952 2403 3 5
1703753902.8497 1957 2407 5 4
1703753902.8565 1962 2412 5 5
1703753902.8634 1966 2417 4 5
1703753902.8712 1970 2422 4 5
1703753902.8781 1974 2427 4 5
1703753902.8849 1978 2432 4 5
1703753902.8919 1983 2436 5 4
1703753902.8988 1986 2441 3 5
1703753902.9056 1990 2447 4 6
1703753902.9125 1994 2451 4 4
