% Edge logfile: log_20231228_103218.821/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1703755939.2403 2 1 0.0000 0.0556 4.3884 0
1703755939.2482 2 1 0.0000 0.0576 4.4334 0
1703755939.2553 2 1 0.0000 0.0586 4.4058 0
1703755939.2633 2 1 0.0000 0.0604 4.4353 0
1703755939.2723 2 1 0.0000 0.0592 4.2392 0
1703755939.2803 2 1 0.0000 0.0593 4.1474 0
1703755939.2876 2 1 0.0000 0.0608 4.1784 0
1703755939.2955 2 1 0.0000 0.0603 4.0470 0
1703755939.3035 2 1 0.0000 0.0599 3.9265 0
1703755939.3117 2 1 0.0000 0.0600 3.8610 0
1703755939.3195 2 1 0.0000 0.0615 3.9037 0
1703755939.3277 2 1 0.0000 0.0595 3.6668 0
1703755939.3357 2 1 0.0000 0.0595 3.6023 0
1703755939.3435 2 1 0.0000 0.0599 3.5659 0
1703755939.3514 2 1 0.0000 0.0604 3.5439 0
1703755939.3597 2 1 0.0000 0.0574 3.2520 0
1703755939.3676 2 1 0.0000 0.0573 3.1939 0
1703755939.3757 2 1 0.0000 0.0567 3.0984 0
1703755939.3839 2 1 0.0000 0.0542 2.8565 0
1703755939.3918 2 1 0.0000 0.0526 2.6996 0
1703755939.3996 2 1 0.0000 0.0518 2.6007 0
1703755939.4077 2 1 0.0000 0.0478 2.2587 0
1703755939.4157 2 1 0.0000 0.0436 1.9139 0
1703755939.4238 2 1 0.0000 0.0438 1.9195 0
1703755939.4318 2 1 0.0000 0.0417 1.7413 0
1703755939.4396 2 1 0.0000 0.0392 1.5454 0
1703755939.4475 2 1 0.0000 0.0373 1.3953 0
1703755939.4557 2 1 0.0000 0.0369 1.3683 0
1703755939.4637 2 1 0.0000 0.0317 0.9635 0
1703755939.4717 2 1 0.0000 0.0289 0.7584 0
1703755939.4797 2 1 0.0000 0.0272 0.6407 0
1703755939.4875 2 1 0.0000 0.0240 0.4102 0
1703755939.4954 2 1 0.0000 0.0203 0.1480 0
1703755939.5034 2 1 0.0000 0.0201 0.1687 0
1703755939.5116 2 1 0.0000 0.0162 -0.1107 0
1703755939.5195 2 1 0.0000 0.0126 -0.3493 0
1703755939.5276 2 1 0.0000 0.0087 -0.6182 0
1703755939.5355 2 1 0.0000 0.0056 -0.8136 0
1703755939.5433 2 1 0.0000 0.0014 -1.0872 0
1703755939.5513 2 1 0.0000 -0.0011 -1.2255 0
1703755939.5595 2 1 0.0000 -0.0040 -1.3973 0
1703755939.5675 2 1 0.0000 -0.0068 -1.5527 0
1703755939.5755 2 1 0.0000 -0.0125 -1.9317 0
1703755939.5835 2 1 0.0000 -0.0137 -1.9556 0
1703755939.5913 2 1 0.0000 -0.0156 -2.0294 0
1703755939.5995 2 1 0.0000 -0.0190 -2.2240 0
1703755939.6075 2 1 0.0000 -0.0203 -2.2563 0
1703755939.6153 2 1 0.0000 -0.0206 -2.2050 0
1703755939.6233 2 1 0.0000 -0.0254 -2.5069 0
1703755939.6322 2 1 0.0000 -0.0295 -2.7562 0
1703755939.6401 2 1 0.0000 -0.0288 -2.6195 0
1703755939.6473 2 1 0.0000 -0.0300 -2.6405 0
