% Edge sensor logfile normalized 'log_20231229_135234.974/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1703854356.6568 943 945 931 924 927 929 955 971  0.1350
1703854356.6650 947 936 929 935 919 926 960 960  0.1350
1703854356.6726 930 922 914 924 911 943 950 974  0.1350
1703854356.6808 963 929 927 940 923 916 950 974  0.1350
1703854356.6889 953 924 922 924 923 931 947 966  0.1350
1703854356.6972 953 917 918 926 915 914 960 968  0.1350
1703854356.7044 963 936 918 931 923 931 960 977  0.1350
1703854356.7129 947 936 920 935 919 948 960 963  0.1350
1703854356.7204 947 929 927 933 921 931 947 966  0.1350
1703854356.7287 963 936 929 940 919 929 947 960  0.1350
1703854356.7365 963 936 931 942 931 931 947 980  0.1350
1703854356.7449 933 929 922 929 909 924 942 974  0.1350
1703854356.7533 940 938 925 926 917 931 942 954  0.1350
1703854356.7609 947 933 922 929 919 921 957 968  0.1350
1703854356.7684 943 929 916 922 907 933 947 954  0.1350
1703854356.7767 950 913 927 922 911 919 965 974  0.1350
1703854356.7845 950 933 933 942 925 946 952 966  0.1350
1703854356.7928 960 927 933 931 915 926 960 974  0.1350
1703854356.8012 933 933 922 935 921 926 957 960  0.1350
1703854356.8087 950 927 912 924 917 929 957 977  0.1350
1703854356.8172 973 938 937 942 927 931 957 974  0.1350
1703854356.8249 933 920 910 931 915 926 952 974  0.1350
1703854356.8323 927 927 907 937 919 929 950 968  0.1350
1703854356.8406 933 945 922 937 931 953 957 977  0.1350
1703854356.8489 953 936 929 937 919 926 942 957  0.1350
1703854356.8565 937 920 914 913 915 916 957 951  0.1350
1703854356.8647 957 947 929 937 929 936 970 977  0.1350
1703854356.8726 947 945 933 940 931 943 960 985  0.1350
1703854356.8812 937 931 925 929 925 929 950 963  0.1350
1703854356.8884 943 924 918 937 909 929 957 957  0.1350
1703854356.8967 957 943 922 949 929 929 972 974  0.1350
1703854356.9053 940 927 929 924 917 931 945 966  0.1350
1703854356.9129 953 947 927 924 909 907 957 977  0.1350
1703854356.9205 950 936 927 933 931 929 957 968  0.1350
1703854356.9291 940 936 927 926 919 936 960 977  0.1350
1703854356.9363 940 938 918 920 915 931 935 963  0.1350
1703854356.9445 953 929 931 935 915 931 945 980  0.1350
1703854356.9530 960 938 918 933 917 929 962 957  0.1350
1703854356.9607 953 922 925 929 923 933 947 977  0.1350
1703854356.9694 917 933 922 933 917 933 955 954  0.1350
1703854356.9770 953 933 918 944 929 951 965 983  0.1350
1703854356.9852 953 929 925 924 913 929 950 946  0.1350
1703854356.9924 953 938 933 940 921 931 965 977  0.1350
1703854357.0010 957 936 935 937 925 933 955 988  0.1350
1703854357.0086 963 933 918 926 927 933 952 974  0.1350
1703854357.0172 953 922 918 926 911 924 957 960  0.1350
1703854357.0248 966 938 922 940 923 948 967 966  0.1350
1703854357.0331 950 938 927 924 913 933 955 968  0.1350
1703854357.0407 940 931 922 929 911 931 950 971  0.1350
1703854357.0485 943 927 912 913 909 938 965 963  0.1350
1703854357.0567 960 933 935 931 923 938 962 977  0.1350
1703854357.0650 960 940 920 920 925 931 942 968  0.1350
1703854357.0727 927 931 920 937 901 924 935 966  0.1350
