% Edge sensor logfile normalized 'log_20240202_161748.204/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887068.3706 0 0 0 0 0 0 0 0  0.0000
1706887068.3799 0 0 0 0 2 0 4 0  0.0000
1706887068.3865 3 0 0 0 0 0 2 1  0.0000
1706887068.3959 0 0 0 0 3 0 0 0  0.0000
1706887068.4036 0 0 1 1 0 3 3 1  0.0000
1706887068.4109 0 0 0 0 0 0 0 0  0.0000
1706887068.4163 0 0 0 0 0 0 0 0  0.0000
1706887068.4252 0 0 0 0 0 0 0 0  0.0000
1706887068.4315 1 0 0 0 0 0 0 0  0.0000
1706887068.4398 4 0 0 0 0 1 0 0  0.0000
1706887068.4485 0 2 5 4 3 1 0 0  0.0000
1706887068.4555 0 0 0 0 0 0 0 0  0.0000
1706887068.4642 0 2 5 3 1 1 0 0  0.0000
1706887068.4729 0 4 4 3 0 0 0 0  0.0000
1706887068.4800 2 6 3 3 0 0 0 0  0.0000
1706887068.4875 1 0 1 0 0 3 0 0  0.0000
1706887068.4962 0 0 0 7 5 6 4 0  0.0000
1706887068.5040 0 0 0 3 0 0 0 3  0.0000
1706887068.5124 0 0 7 4 5 4 0 0  0.0000
1706887068.5202 0 0 1 6 1 0 0 0  0.0000
1706887068.5276 0 0 0 0 5 2 0 0  0.0000
1706887068.5361 0 0 0 0 4 4 5 4  0.0000
1706887068.5436 0 0 1 2 1 8 0 0  0.0000
1706887068.5514 0 0 0 0 0 0 0 0  0.0000
1706887068.5599 0 3 4 2 2 5 0 0  0.0000
1706887068.5678 0 2 1 1 0 0 0 0  0.0000
1706887068.5763 2 2 0 0 0 1 0 0  0.0000
1706887068.5844 0 0 0 2 2 6 1 0  0.0000
1706887068.5922 0 0 1 6 3 0 0 0  0.0000
1706887068.6000 0 0 0 0 1 0 0 0  0.0000
1706887068.6085 0 0 3 5 1 0 0 1  0.0000
1706887068.6163 0 0 1 0 0 0 0 0  0.0000
1706887068.6248 0 0 0 0 0 0 0 0  0.0000
1706887068.6330 0 0 0 6 6 3 3 1  0.0000
1706887068.6407 0 0 0 3 4 0 0 0  0.0000
