% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1706887085.3573 0 0 0 0
1706887085.3649 0 0 0 0
1706887085.3723 4294967295 4294967295 -1 -1
1706887085.3799 4294967295 4294967295 0 0
1706887085.3882 4294967295 4294967295 0 0
1706887085.3963 4294967295 4294967295 0 0
1706887085.4040 4294967295 4294967295 0 0
1706887085.4128 4294967295 4294967295 0 0
1706887085.4208 4294967295 4294967295 0 0
1706887085.4285 4294967295 4294967295 0 0
1706887085.4370 4294967295 4294967295 0 0
1706887085.4444 4294967295 4294967295 0 0
1706887085.4523 4294967295 4294967295 0 0
1706887085.4610 4294967295 4294967295 0 0
1706887085.4687 4294967295 4294967295 0 0
1706887085.4764 0 0 1 1
1706887085.4845 3 2 3 2
1706887085.4927 8 6 5 4
1706887085.5004 13 8 5 2
1706887085.5083 14 9 1 1
1706887085.5161 16 11 2 2
1706887085.5248 20 14 4 3
1706887085.5319 23 17 3 3
1706887085.5401 28 22 5 5
1706887085.5489 32 26 4 4
1706887085.5558 39 31 7 5
1706887085.5647 44 36 5 5
1706887085.5724 49 41 5 5
1706887085.5805 56 48 7 7
1706887085.5887 62 54 6 6
1706887085.5962 69 60 7 6
1706887085.6044 76 68 7 8
1706887085.6132 82 75 6 7
1706887085.6209 89 81 7 6
1706887085.6291 97 89 8 8
1706887085.6362 103 96 6 7
1706887085.6447 109 104 6 8
1706887085.6529 115 111 6 7
1706887085.6611 124 117 9 6
1706887085.6684 132 124 8 7
1706887085.6766 138 133 6 9
1706887085.6848 143 139 5 6
1706887085.6923 150 144 7 5
1706887085.7004 159 153 9 9
1706887085.7086 166 162 7 9
1706887085.7171 171 169 5 7
1706887085.7252 177 174 6 5
1706887085.7321 185 181 8 7
1706887085.7409 193 189 8 8
1706887085.7491 199 195 6 6
1706887085.7562 205 202 6 7
1706887085.7646 212 209 7 7
1706887085.7727 219 216 7 7
1706887085.7808 225 222 6 6
1706887085.7884 231 230 6 8
1706887085.7966 239 238 8 8
1706887085.8048 247 243 8 5
1706887085.8131 253 248 6 5
1706887085.8202 258 256 5 8
1706887085.8282 265 263 7 7
1706887085.8370 273 269 8 6
1706887085.8452 280 274 7 5
1706887085.8530 286 282 6 8
1706887085.8608 292 289 6 7
1706887085.8684 299 295 7 6
1706887085.8767 307 303 8 8
1706887085.8844 313 310 6 7
1706887085.8925 319 316 6 6
1706887085.9007 326 322 7 6
1706887085.9083 333 330 7 8
1706887085.9170 340 337 7 7
1706887085.9241 346 343 6 6
1706887085.9330 353 348 7 5
1706887085.9411 359 356 6 8
1706887085.9482 366 364 7 8
1706887085.9568 372 370 6 6
1706887085.9646 379 374 7 4
1706887085.9728 386 381 7 7
1706887085.9805 392 390 6 9
1706887085.9887 399 398 7 8
1706887085.9969 406 404 7 6
1706887086.0044 414 409 8 5
1706887086.0133 420 416 6 7
1706887086.0205 426 426 6 10
1706887086.0283 433 433 7 7
1706887086.0364 441 437 8 4
1706887086.0446 447 443 6 6
1706887086.0522 453 451 6 8
1706887086.0604 460 459 7 8
1706887086.0682 467 466 7 7
1706887086.0770 473 471 6 5
1706887086.0852 479 478 6 7
1706887086.0922 487 486 8 8
1706887086.1009 495 492 8 6
1706887086.1092 501 497 6 5
1706887086.1170 506 504 5 7
1706887086.1247 514 512 8 8
1706887086.1328 522 518 8 6
1706887086.1409 528 524 6 6
1706887086.1486 534 531 6 7
1706887086.1569 541 539 7 8
1706887086.1646 549 545 8 6
1706887086.1724 556 551 7 6
1706887086.1806 561 559 5 8
1706887086.1886 567 567 6 8
1706887086.1963 574 572 7 5
1706887086.2045 582 578 8 6
1706887086.2134 589 586 7 8
1706887086.2211 595 594 6 8
1706887086.2291 602 600 7 6
1706887086.2362 609 605 7 5
1706887086.2450 616 612 7 7
1706887086.2532 622 620 6 8
1706887086.2604 629 627 7 7
1706887086.2688 636 633 7 6
1706887086.2768 642 639 6 6
1706887086.2850 649 646 7 7
1706887086.2927 656 655 7 9
1706887086.3009 662 662 6 7
1706887086.3091 669 667 7 5
1706887086.3162 676 674 7 7
1706887086.3244 683 681 7 7
1706887086.3327 689 688 6 7
1706887086.3404 695 694 6 6
1706887086.3486 703 702 8 8
1706887086.3565 710 708 7 6
1706887086.3647 715 714 5 6
1706887086.3728 721 721 6 7
1706887086.3810 729 729 8 8
1706887086.3888 737 735 8 6
1706887086.3970 744 741 7 6
1706887086.4042 750 749 6 8
1706887086.4134 756 757 6 8
1706887086.4205 763 763 7 6
1706887086.4287 771 769 8 6
1706887086.4364 778 778 7 9
1706887086.4446 784 784 6 6
1706887086.4526 789 789 5 5
1706887086.4604 796 796 7 7
1706887086.4682 804 805 8 9
1706887086.4764 811 812 7 7
1706887086.4842 817 817 6 5
1706887086.4924 823 823 6 6
1706887086.5004 831 830 8 7
1706887086.5092 839 839 8 9
1706887086.5170 847 845 8 6
1706887086.5252 852 849 5 4
1706887086.5329 857 855 5 6
1706887086.5411 860 860 3 5
1706887086.5491 863 862 3 2
1706887086.5569 866 865 3 3
1706887086.5646 868 867 2 2
1706887086.5728 870 869 2 2
1706887086.5804 873 871 3 2
1706887086.5884 875 873 2 2
1706887086.5966 876 875 1 2
1706887086.6044 876 878 0 3
1706887086.6132 877 880 1 2
1706887086.6203 878 881 1 1
1706887086.6291 880 882 2 1
1706887086.6371 881 884 1 2
1706887086.6442 881 885 0 1
1706887086.6530 881 885 0 0
1706887086.6612 880 886 -1 1
1706887086.6689 880 887 0 1
1706887086.6766 879 889 -1 2
1706887086.6848 879 892 0 3
1706887086.6930 878 892 -1 0
1706887086.7007 877 892 -1 0
1706887086.7089 876 892 -1 0
1706887086.7168 874 893 -2 1
1706887086.7242 873 893 -1 0
1706887086.7324 872 894 -1 1
1706887086.7405 870 896 -2 2
1706887086.7482 869 897 -1 1
1706887086.7564 868 898 -1 1
1706887086.7642 866 900 -2 2
1706887086.7728 864 901 -2 1
1706887086.7809 863 904 -1 3
1706887086.7891 861 906 -2 2
1706887086.7970 859 908 -2 2
1706887086.8052 858 911 -1 3
1706887086.8138 857 914 -1 3
1706887086.8204 855 914 -2 0
1706887086.8286 853 915 -2 1
1706887086.8368 852 917 -1 2
1706887086.8445 850 921 -2 4
1706887086.8523 849 923 -1 2
1706887086.8603 848 923 -1 0
1706887086.8687 846 924 -2 1
1706887086.8768 845 927 -1 3
1706887086.8851 843 930 -2 3
1706887086.8928 842 931 -1 1
1706887086.9010 841 932 -1 1
1706887086.9089 839 934 -2 2
1706887086.9163 838 936 -1 2
1706887086.9246 837 937 -1 1
1706887086.9328 835 939 -2 2
1706887086.9405 834 941 -1 2
1706887086.9484 832 942 -2 1
1706887086.9567 831 943 -1 1
1706887086.9651 829 946 -2 3
1706887086.9732 828 947 -1 1
1706887086.9804 827 948 -1 1
1706887086.9891 825 949 -2 1
1706887086.9962 823 951 -2 2
1706887087.0045 822 954 -1 3
1706887087.0129 821 955 -1 1
1706887087.0211 819 955 -2 0
1706887087.0282 818 956 -1 1
1706887087.0370 817 958 -1 2
1706887087.0452 815 960 -2 2
1706887087.0524 814 962 -1 2
1706887087.0602 813 962 -1 0
1706887087.0692 811 962 -2 0
1706887087.0764 810 963 -1 1
1706887087.0850 809 967 -1 4
1706887087.0932 808 970 -1 3
1706887087.1004 806 970 -2 0
1706887087.1092 805 970 -1 0
1706887087.1170 803 970 -2 0
1706887087.1242 801 972 -2 2
1706887087.1327 800 975 -1 3
1706887087.1409 798 977 -2 2
1706887087.1491 797 977 -1 0
1706887087.1569 796 977 -1 0
1706887087.1647 794 978 -2 1
1706887087.1726 792 982 -2 4
1706887087.1803 790 984 -2 2
1706887087.1885 789 985 -1 1
1706887087.1969 788 985 -1 0
1706887087.2046 786 986 -2 1
1706887087.2134 784 987 -2 1
1706887087.2204 783 989 -1 2
1706887087.2292 783 991 0 2
1706887087.2363 781 992 -2 1
1706887087.2446 779 993 -2 1
1706887087.2524 778 993 -1 0
1706887087.2605 777 994 -1 1
1706887087.2692 776 995 -1 1
1706887087.2770 775 997 -1 2
1706887087.2852 773 999 -2 2
1706887087.2923 771 1001 -2 2
1706887087.3010 770 1001 -1 0
1706887087.3090 769 1001 -1 0
1706887087.3169 767 1002 -2 1
1706887087.3246 766 1004 -1 2
1706887087.3328 764 1007 -2 3
1706887087.3411 762 1007 -2 0
1706887087.3488 761 1007 -1 0
1706887087.3565 759 1009 -2 2
1706887087.3643 758 1011 -1 2
1706887087.3730 757 1013 -1 2
1706887087.3802 755 1014 -2 1
1706887087.3884 753 1014 -2 0
1706887087.3971 753 1015 0 1
1706887087.4042 752 1018 -1 3
1706887087.4131 750 1021 -2 3
1706887087.4209 747 1022 -3 1
1706887087.4290 747 1022 0 0
1706887087.4362 747 1023 0 1
1706887087.4448 745 1025 -2 2
1706887087.4530 743 1028 -2 3
1706887087.4602 741 1030 -2 2
1706887087.4685 740 1030 -1 0
1706887087.4767 739 1030 -1 0
1706887087.4850 737 1031 -2 1
1706887087.4925 735 1034 -2 3
1706887087.5008 734 1035 -1 1
1706887087.5090 733 1036 -1 1
1706887087.5163 731 1036 -2 0
1706887087.5245 729 1038 -2 2
1706887087.5325 729 1039 0 1
1706887087.5403 729 1041 0 2
1706887087.5485 727 1043 -2 2
1706887087.5567 725 1043 -2 0
1706887087.5650 720 1043 -5 0
1706887087.5733 720 1045 0 2
1706887087.5802 720 1047 0 2
1706887087.5891 719 1050 -1 3
1706887087.5963 717 1050 -2 0
1706887087.6046 714 1050 -3 0
1706887087.6130 714 1051 0 1
1706887087.6212 714 1053 0 2
1706887087.6281 713 1056 -1 3
1706887087.6369 711 1057 -2 1
1706887087.6452 709 1057 -2 0
1706887087.6523 709 1058 0 1
1706887087.6611 708 1060 -1 2
1706887087.6687 706 1062 -2 2
1706887087.6769 705 1064 -1 2
1706887087.6847 704 1064 -1 0
1706887087.6929 702 1064 -2 0
1706887087.7011 700 1065 -2 1
1706887087.7088 699 1068 -1 3
1706887087.7164 698 1071 -1 3
1706887087.7247 696 1072 -2 1
1706887087.7324 694 1073 -2 1
1706887087.7406 692 1074 -2 1
1706887087.7489 691 1075 -1 1
1706887087.7563 690 1077 -1 2
1706887087.7652 688 1077 -2 0
1706887087.7724 687 1077 -1 0
1706887087.7811 686 1079 -1 2
1706887087.7883 685 1082 -1 3
1706887087.7965 682 1085 -3 3
1706887087.8051 680 1086 -2 1
1706887087.8130 680 1086 0 0
1706887087.8212 680 1087 0 1
1706887087.8289 679 1090 -1 3
1706887087.8371 677 1091 -2 1
1706887087.8443 674 1092 -3 1
1706887087.8524 673 1092 -1 0
1706887087.8606 673 1094 0 2
1706887087.8684 672 1096 -1 2
1706887087.8761 670 1098 -2 2
1706887087.8843 667 1098 -3 0
1706887087.8923 667 1098 0 0
1706887087.9012 667 1100 0 2
1706887087.9083 665 1103 -2 3
1706887087.9172 662 1106 -3 3
1706887087.9250 661 1106 -1 0
1706887087.9332 660 1106 -1 0
1706887087.9412 659 1107 -1 1
1706887087.9489 657 1109 -2 2
1706887087.9571 655 1112 -2 3
1706887087.9649 654 1113 -1 1
1706887087.9727 653 1114 -1 1
1706887087.9809 652 1114 -1 0
1706887087.9889 650 1115 -2 1
1706887087.9966 648 1116 -2 1
1706887088.0049 648 1119 0 3
1706887088.0138 647 1121 -1 2
1706887088.0204 645 1122 -2 1
1706887088.0284 643 1123 -2 1
1706887088.0366 642 1123 -1 0
1706887088.0444 642 1124 0 1
1706887088.0527 640 1126 -2 2
1706887088.0609 638 1129 -2 3
1706887088.0682 637 1130 -1 1
1706887088.0773 635 1130 -2 0
1706887088.0845 633 1131 -2 1
1706887088.0922 632 1133 -1 2
1706887088.1004 630 1135 -2 2
1706887088.1087 628 1136 -2 1
1706887088.1168 627 1137 -1 1
1706887088.1250 626 1138 -1 1
1706887088.1322 624 1141 -2 3
1706887088.1410 622 1143 -2 2
1706887088.1492 621 1145 -1 2
1706887088.1564 620 1145 -1 0
1706887088.1646 619 1145 -1 0
1706887088.1728 617 1145 -2 0
1706887088.1810 615 1147 -2 2
1706887088.1888 614 1151 -1 4
1706887088.1971 613 1154 -1 3
1706887088.2043 611 1155 -2 1
1706887088.2136 610 1155 -1 0
1706887088.2207 610 1155 0 0
1706887088.2289 608 1156 -2 1
1706887088.2367 606 1158 -2 2
1706887088.2449 605 1160 -1 2
1706887088.2528 604 1160 -1 0
1706887088.2606 602 1160 -2 0
1706887088.2683 600 1161 -2 1
1706887088.2766 599 1163 -1 2
1706887088.2844 598 1166 -1 3
1706887088.2927 597 1168 -1 2
1706887088.3007 595 1169 -2 1
1706887088.3084 592 1169 -3 0
1706887088.3172 592 1170 0 1
1706887088.3244 592 1170 0 0
1706887088.3322 591 1172 -1 2
1706887088.3404 589 1174 -2 2
1706887088.3484 586 1176 -3 2
1706887088.3569 585 1177 -1 1
1706887088.3647 585 1178 0 1
1706887088.3728 584 1179 -1 1
1706887088.3806 582 1181 -2 2
1706887088.3886 580 1184 -2 3
1706887088.3968 579 1186 -1 2
1706887088.4046 579 1186 0 0
