% Edge sensor logfile log_20240202_162221.774/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 0 0 0 0 0 0 0 0
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1706887342.1757 0 0.000 0.000 0.0000
1706887342.1840 0 0.000 0.000 0.0000
1706887342.1910 0 0.000 0.000 0.0000
1706887342.1986 0 0.000 0.000 0.0000
1706887342.2063 0 0.000 0.000 0.0000
1706887342.2151 0 0.000 0.000 0.0000
1706887342.2226 0 0.000 0.000 0.0000
1706887342.2307 0 0.000 0.000 0.0000
1706887342.2395 0 0.000 0.000 0.0000
1706887342.2471 0 0.000 0.000 0.0000
1706887342.2553 0 0.000 0.000 0.0000
1706887342.2632 0 0.000 0.000 0.0000
1706887342.2711 0 0.000 0.000 0.0000
1706887342.2796 0 0.000 0.000 0.0000
1706887342.2874 0 0.000 0.000 0.0000
1706887342.2949 0 0.000 0.000 0.0000
1706887342.3027 0 0.000 0.000 0.0000
1706887342.3116 0 0.000 0.000 0.0000
1706887342.3192 0 0.000 0.000 0.0000
1706887342.3276 0 0.000 0.000 0.0000
1706887342.3351 0 0.000 0.000 0.0000
1706887342.3427 0 0.000 0.000 0.0000
1706887342.3516 0 0.000 0.000 0.0000
1706887342.3593 0 0.000 0.000 0.0000
1706887342.3668 0 0.000 0.000 0.0000
1706887342.3757 0 0.000 0.000 0.0000
1706887342.3831 0 0.000 0.000 0.0000
1706887342.3907 0 0.000 0.000 0.0000
1706887342.3996 0 0.000 0.000 0.0000
1706887342.4073 0 0.000 0.000 0.0000
1706887342.4148 0 0.000 0.000 0.0000
1706887342.4237 0 0.000 0.000 0.0000
1706887342.4310 0 0.000 0.000 0.0000
1706887342.4388 0 0.000 0.000 0.0000
1706887342.4476 0 0.000 0.000 0.0000
1706887342.4563 0 0.000 0.000 0.0000
1706887342.4629 0 0.000 0.000 0.0000
1706887342.4708 0 0.000 0.000 0.0000
1706887342.4793 0 0.000 0.000 0.0000
1706887342.4870 0 0.000 0.000 0.0000
1706887342.4949 0 0.000 0.000 0.0000
1706887342.5036 0 0.000 0.000 0.0000
1706887342.5112 0 0.000 0.000 0.0000
