% Edge logfile: log_20240327_185103.531/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1711561863.8748 2 1 0.0000 0.0000 0.0000 0
1711561863.8829 2 1 0.0000 0.0000 0.0000 0
1711561863.8910 2 1 0.0000 0.0000 0.0000 0
1711561863.8987 2 1 0.0000 0.0000 0.0000 0
1711561863.9067 2 1 0.0000 0.0000 0.0000 0
1711561863.9148 2 1 0.0000 0.0000 0.0000 0
1711561863.9229 2 1 0.0000 0.0000 0.0000 0
1711561863.9311 2 1 0.0000 0.0000 0.0000 0
1711561863.9392 2 1 0.0000 0.0000 0.0000 0
1711561863.9471 2 1 0.0000 0.0000 0.0000 0
1711561863.9553 2 1 0.0000 0.0000 0.0000 0
1711561863.9632 2 1 0.0000 0.0000 0.0000 0
1711561863.9710 2 1 0.0000 0.0000 0.0000 0
1711561863.9792 2 1 0.0000 0.0000 0.0000 0
1711561863.9874 2 1 0.0000 0.0000 0.0000 0
1711561863.9952 2 1 0.0000 0.0000 0.0000 0
1711561864.0034 2 1 0.0000 0.0000 0.0000 0
1711561864.0113 2 1 0.0000 0.0000 0.0000 0
1711561864.0191 2 1 0.0000 0.0000 0.0000 0
1711561864.0268 2 1 0.0000 0.0000 0.0000 0
1711561864.0350 2 1 0.0000 0.0000 0.0000 0
1711561864.0427 2 1 0.0000 0.0000 0.0000 0
1711561864.0510 2 1 0.0000 0.0000 0.0000 0
1711561864.0589 2 1 0.0000 0.0000 0.0000 0
1711561864.0667 2 1 0.0000 0.0000 0.0000 0
1711561864.0756 2 1 0.0000 0.0000 0.0000 0
1711561864.0828 2 1 0.0000 0.0000 0.0000 0
1711561864.0913 2 1 0.0000 0.0000 0.0000 0
1711561864.0992 2 1 0.0000 0.0000 0.0000 0
1711561864.1074 2 1 0.0000 0.0000 0.0000 0
1711561864.1152 2 1 0.0000 0.0000 0.0000 0
1711561864.1230 2 1 0.0000 0.0000 0.0000 0
1711561864.1312 2 1 0.0000 0.0000 0.0000 0
1711561864.1390 2 1 0.0000 0.0000 0.0000 0
1711561864.1471 2 1 0.0000 0.0000 0.0000 0
1711561864.1553 2 1 0.0000 0.0000 0.0000 0
1711561864.1631 2 1 0.0000 0.0000 0.0000 0
1711561864.1713 2 1 0.0000 0.0000 0.0000 0
